iter	Passed	Remaining
312	1985	4358
313	2001	4373
314	2005	4360
315	2012	4355
316	2016	4345
317	2022	4336
318	2028	4329
319	2031	4316
320	2038	4312
321	2052	4321
322	2069	4337
323	2080	4341
324	2084	4328
325	2146	4438
326	2168	4462
327	2196	4500
328	2224	4537
329	2264	4597
330	2287	4622
331	2308	4644
332	2321	4649
333	2330	4646
334	2348	4661
335	2358	4661
336	2373	4668
337	2379	4660
338	2383	4647
339	2387	4633
340	2390	4620
341	2397	4612
342	2400	4597
343	2402	4581
344	2416	4587
345	2418	4571
346	2420	4555
347	2425	4544
348	2431	4535
349	2434	4520
350	2437	4506
351	2441	4495
352	2446	4483
353	2448	4468
354	2470	4488
355	2474	4476
356	2477	4462
357	2489	4465
358	2494	4453
359	2497	4440
360	2506	4437
361	2512	4427
362	2523	4429
363	2544	4446
364	2561	4455
365	2571	4454
366	2587	4462
367	2595	4457
368	2602	4450
369	2621	4463
370	2648	4489
371	2678	4522
372	2686	4515
373	2693	4508
374	2696	4493
375	2700	4482
376	2705	4471
377	2709	4457
378	2711	4443
379	2714	4428
380	2721	4421
381	2724	4407
382	2726	4392
383	2729	4378
384	2736	4371
385	2739	4357
386	2748	4354
387	2752	4341
388	2756	4329
389	2759	4316
390	2767	4310
391	2770	4297
392	2775	4287
393	2782	4279
394	2789	4272
395	2795	4264
396	2804	4259
397	2890	4371
398	2897	4364
399	2906	4359
400	2924	4367
401	2930	4359
402	2992	4433
403	3008	4437
404	3036	4460
405	3064	4483
406	3144	4580
407	3165	4592
408	3182	4598
409	3222	4637
410	3241	4645
411	3258	4650
412	3274	4654
413	3291	4659
414	3311	4667
415	3327	4671
416	3361	4699
417	3378	4703
418	3383	4692
419	3388	4679
420	3410	4690
421	3424	4690
